"Season","Team","IP","R","ER","ERA","FIP","AVG","WHIP","BABIP","K/9","BB/9","HR/9","K/BB","LOB%","GB%","GB/FB","HR/FB","Swing%","Barrel%","vFA (pi)","WAR"
"2005","STL","1445.2","634","560","3.49","4.09",".252","1.27",".282","6.06","2.76","0.95","2.20","75.1%","50.7%","1.71","11.6%","45.6%","","","15.5"
"2005","HOU","1443.0","609","564","3.52","3.84",".242","1.23",".281","7.26","2.74","0.97","2.65","75.8%","46.4%","1.44","11.3%","46.9%","","","22.6"
"2005","CLE","1452.2","642","582","3.61","3.92",".244","1.22",".275","6.51","2.56","0.97","2.54","73.6%","44.8%","1.31","10.2%","47.2%","","","19.2"
"2005","CHW","1475.2","645","592","3.61","4.12",".246","1.25",".275","6.34","2.80","1.02","2.27","75.4%","43.6%","1.24","10.5%","46.9%","","","23.0"
"2005","LAA","1464.1","643","598","3.68","3.89",".250","1.27",".288","6.92","2.72","0.97","2.54","75.0%","41.2%","1.06","9.2%","46.9%","","","21.4"
"2005","OAK","1450.1","658","596","3.70","4.08",".238","1.25",".271","6.67","3.13","0.96","2.13","73.4%","44.0%","1.27","10.2%","45.1%","","","18.3"
"2005","MIN","1464.1","662","606","3.72","4.00",".257","1.23",".283","5.93","2.14","1.04","2.77","73.6%","45.1%","1.27","10.3%","49.3%","","","19.0"
"2005","NYM","1435.2","648","602","3.77","3.98",".249","1.31",".283","6.34","3.08","0.85","2.06","73.7%","44.2%","1.27","8.8%","45.4%","","","17.4"
"2005","WSN","1458.0","673","627","3.87","4.16",".257","1.37",".290","6.15","3.33","0.86","1.85","74.5%","40.2%","1.07","8.3%","45.4%","","","14.5"
"2005","MIL","1438.0","697","636","3.98","4.20",".247","1.36",".285","7.34","3.56","1.06","2.06","73.8%","41.4%","1.10","10.5%","46.2%","","","16.5"
"2005","ATL","1443.2","674","639","3.98","4.19",".264","1.39",".294","5.79","3.24","0.90","1.79","74.3%","46.7%","1.51","10.3%","46.1%","","","14.4"
"2005","TOR","1447.0","705","653","4.06","4.42",".261","1.33",".286","5.96","2.76","1.15","2.16","74.2%","45.7%","1.34","11.7%","46.5%","","","14.0"
"2005","SDP","1455.1","726","668","4.13","3.90",".255","1.34",".295","7.01","3.11","0.90","2.25","71.0%","43.0%","1.21","9.2%","45.2%","","","17.4"
"2005","FLA","1442.1","732","671","4.19","3.81",".260","1.40",".308","7.02","3.51","0.72","2.00","70.4%","45.2%","1.38","8.2%","45.4%","","","21.2"
"2005","CHC","1440.0","714","671","4.19","4.26",".244","1.34",".284","7.85","3.60","1.16","2.18","73.7%","46.0%","1.38","13.5%","44.8%","","","15.1"
"2005","PHI","1435.0","726","672","4.21","4.29",".248","1.30",".283","7.27","3.05","1.19","2.38","72.4%","44.4%","1.34","13.3%","46.4%","","","16.0"
"2005","SFG","1444.1","745","698","4.35","4.35",".258","1.42",".289","6.06","3.69","0.94","1.64","71.6%","42.2%","1.15","9.0%","44.9%","","","11.7"
"2005","LAD","1427.1","755","695","4.38","4.40",".257","1.33",".285","6.33","2.97","1.15","2.13","70.8%","45.9%","1.34","12.0%","45.5%","","","11.3"
"2005","PIT","1436.0","769","708","4.44","4.57",".261","1.44",".290","6.00","3.84","1.02","1.57","71.6%","43.9%","1.26","10.3%","44.6%","","","7.2"
"2005","SEA","1427.2","751","712","4.49","4.56",".264","1.39",".287","5.62","3.13","1.13","1.80","72.0%","41.4%","1.06","9.9%","44.7%","","","9.3"
"2005","DET","1435.2","787","721","4.52","4.57",".267","1.37",".290","5.69","2.89","1.21","1.97","70.4%","45.7%","1.31","11.9%","46.7%","","","9.7"
"2005","NYY","1430.2","789","721","4.54","4.28",".265","1.37",".297","6.20","2.91","1.03","2.13","69.1%","47.0%","1.33","10.1%","46.0%","","","15.2"
"2005","BAL","1427.2","800","724","4.56","4.51",".260","1.43",".292","6.63","3.66","1.13","1.81","70.2%","45.5%","1.35","11.9%","44.3%","","","12.4"
"2005","BOS","1429.0","805","753","4.74","4.28",".272","1.39",".303","6.04","2.77","1.03","2.18","68.9%","42.4%","1.16","9.6%","47.1%","","","13.9"
"2005","ARI","1456.1","856","788","4.87","4.55",".272","1.45",".303","6.41","3.32","1.19","1.93","69.3%","45.4%","1.41","12.9%","45.6%","","","11.9"
"2005","TEX","1440.0","858","795","4.97","4.37",".274","1.47",".304","5.83","3.26","0.99","1.79","67.4%","46.0%","1.38","10.0%","45.1%","","","13.7"
"2005","COL","1418.2","862","810","5.14","4.70",".281","1.55",".314","6.22","3.83","1.11","1.62","69.8%","44.2%","1.31","11.3%","44.9%","","","10.2"
"2005","CIN","1433.0","889","824","5.18","4.87",".284","1.50",".309","6.00","3.09","1.38","1.94","69.7%","41.3%","1.10","12.3%","47.7%","","","7.0"
"2005","TBD","1421.2","936","853","5.40","4.89",".275","1.54",".302","6.01","3.89","1.23","1.54","66.4%","39.3%","1.00","10.6%","46.0%","","","4.9"
"2005","KCR","1413.1","935","873","5.56","4.74",".287","1.57",".317","5.88","3.69","1.13","1.59","66.5%","44.4%","1.26","10.7%","44.1%","","","6.1"
