"Season","Team","IP","R","ER","ERA","FIP","AVG","WHIP","BABIP","K/9","BB/9","HR/9","K/BB","LOB%","GB%","GB/FB","HR/FB","Swing%","Barrel%","vFA (pi)","WAR"
"2018","HOU","1455.0","534","503","3.11","3.23",".215","1.10",".283","10.44","2.69","0.94","3.88","77.9%","44.0%","1.24","11.6%","47.0%","5.2%","94.9","28.6"
"2018","LAD","1476.0","610","557","3.40","3.60",".228","1.15",".284","9.54","2.57","1.09","3.71","76.2%","44.9%","1.33","13.4%","48.7%","5.3%","92.6","18.9"
"2018","CHC","1476.1","645","598","3.65","4.14",".237","1.31",".284","8.13","3.79","0.96","2.14","76.2%","45.0%","1.36","11.5%","44.7%","5.2%","92.4","14.1"
"2018","ARI","1463.0","644","606","3.73","3.91",".236","1.25",".289","8.91","3.21","1.07","2.77","75.7%","47.3%","1.50","13.7%","45.7%","6.5%","92.1","12.5"
"2018","MIL","1461.0","659","606","3.73","4.01",".229","1.24",".279","8.80","3.41","1.07","2.58","74.4%","43.2%","1.23","12.5%","46.1%","6.0%","92.7","14.5"
"2018","TBR","1448.1","646","603","3.75","3.82",".227","1.20",".278","8.83","3.11","1.02","2.84","73.3%","43.9%","1.22","11.5%","47.4%","5.9%","94.0","17.4"
"2018","ATL","1456.2","657","607","3.75","3.99",".226","1.28",".278","8.79","3.92","0.95","2.24","74.1%","43.3%","1.26","11.2%","45.1%","5.2%","93.7","15.0"
"2018","BOS","1458.2","647","608","3.75","3.82",".234","1.25",".294","9.61","3.16","1.09","3.04","75.8%","42.4%","1.14","11.9%","46.6%","6.6%","93.6","18.5"
"2018","CLE","1457.1","648","611","3.77","3.79",".241","1.20",".298","9.54","2.51","1.24","3.79","76.0%","42.5%","1.17","13.7%","47.7%","6.5%","93.2","21.9"
"2018","NYY","1456.1","669","611","3.78","3.63",".235","1.24",".300","10.10","3.05","1.09","3.31","73.9%","42.9%","1.22","12.9%","47.1%","6.2%","95.1","24.4"
"2018","OAK","1465.2","674","622","3.82","4.18",".234","1.21",".270","7.60","2.91","1.13","2.61","73.5%","43.6%","1.23","12.2%","47.3%","6.5%","92.6","13.4"
"2018","STL","1455.1","691","623","3.85","3.97",".241","1.34",".293","8.27","3.67","0.89","2.25","73.0%","44.6%","1.37","10.5%","46.6%","5.1%","93.7","14.4"
"2018","SFG","1461.1","699","642","3.95","3.98",".247","1.31",".293","7.82","3.23","0.96","2.42","72.3%","44.5%","1.34","11.0%","45.9%","5.9%","92.3","14.1"
"2018","PIT","1434.0","693","638","4.00","4.06",".247","1.31",".296","8.38","3.12","1.09","2.69","73.6%","43.4%","1.26","12.1%","47.0%","6.1%","94.3","14.9"
"2018","WSN","1446.0","682","649","4.04","4.15",".239","1.25",".287","8.82","3.03","1.23","2.91","74.8%","41.2%","1.08","12.8%","47.3%","6.6%","93.4","16.4"
"2018","NYM","1460.2","707","661","4.07","3.97",".243","1.27",".295","8.91","2.98","1.14","2.99","73.0%","42.1%","1.13","12.2%","47.4%","5.4%","93.9","17.8"
"2018","SEA","1448.2","711","664","4.13","4.05",".249","1.24",".295","8.25","2.49","1.21","3.32","72.5%","42.5%","1.17","12.7%","48.9%","6.8%","93.6","16.5"
"2018","PHI","1445.2","728","666","4.15","3.83",".245","1.29",".303","9.12","3.11","1.06","2.93","71.0%","45.4%","1.32","12.4%","47.0%","5.4%","94.1","19.7"
"2018","LAA","1437.1","722","663","4.15","4.36",".246","1.32",".294","8.68","3.42","1.28","2.54","74.1%","42.1%","1.18","14.1%","45.3%","6.7%","93.0","12.1"
"2018","COL","1452.1","745","699","4.33","4.06",".247","1.31",".299","8.73","3.25","1.14","2.68","71.3%","45.2%","1.36","13.5%","45.8%","5.3%","93.4","17.0"
"2018","SDP","1457.0","767","714","4.41","4.10",".252","1.34",".305","8.64","3.21","1.14","2.70","71.1%","44.4%","1.37","13.6%","45.9%","6.2%","92.1","12.4"
"2018","MIN","1443.1","775","722","4.50","4.39",".253","1.38",".302","8.59","3.57","1.23","2.40","72.4%","41.6%","1.16","13.2%","46.5%","6.8%","92.7","11.4"
"2018","DET","1425.1","796","728","4.60","4.59",".255","1.34",".291","7.67","3.10","1.36","2.47","70.5%","39.6%","1.02","12.9%","46.2%","7.0%","92.2","10.0"
"2018","CIN","1441.0","819","745","4.65","4.68",".262","1.40",".300","7.86","3.32","1.42","2.36","71.5%","44.4%","1.34","15.8%","47.5%","6.6%","94.0","8.7"
"2018","MIA","1442.0","809","763","4.76","4.57",".250","1.38",".290","7.80","3.78","1.20","2.06","69.9%","40.9%","1.09","12.1%","46.2%","6.2%","92.9","2.3"
"2018","CHW","1437.0","848","774","4.85","4.73",".251","1.43",".292","7.89","4.09","1.23","1.93","69.4%","40.8%","1.05","11.7%","45.2%","6.8%","93.3","9.8"
"2018","TOR","1433.2","832","773","4.85","4.53",".261","1.41",".306","8.15","3.46","1.31","2.36","70.0%","42.5%","1.11","12.7%","45.9%","6.7%","91.9","8.8"
"2018","TEX","1431.0","848","783","4.92","4.79",".267","1.40",".299","7.05","3.09","1.40","2.28","69.6%","43.0%","1.24","14.1%","46.0%","6.8%","93.0","10.8"
"2018","KCR","1432.0","833","787","4.95","4.66",".271","1.46",".309","7.27","3.45","1.29","2.11","70.6%","43.1%","1.22","13.0%","46.4%","7.0%","93.0","6.7"
"2018","BAL","1431.0","892","825","5.19","4.98",".273","1.50",".310","7.57","3.70","1.47","2.04","70.0%","41.9%","1.14","14.4%","46.5%","6.8%","93.0","7.1"
