"Season","Team","IP","R","ER","ERA","FIP","AVG","WHIP","BABIP","K/9","BB/9","HR/9","K/BB","LOB%","GB%","GB/FB","HR/FB","Swing%","Barrel%","vFA (pi)","WAR"
"2016","CHC","1459.2","556","511","3.15","3.77",".209","1.11",".255","8.88","3.05","1.01","2.91","77.5%","46.9%","1.45","13.1%","45.7%","4.8%","93.3","18.8"
"2016","WSN","1459.2","612","571","3.52","3.58",".231","1.19",".288","9.10","2.89","0.96","3.15","75.0%","43.3%","1.21","10.9%","47.3%","4.9%","93.8","23.5"
"2016","NYM","1447.0","617","576","3.58","3.57",".250","1.27",".308","8.68","2.73","0.95","3.18","75.6%","44.2%","1.32","11.1%","48.1%","5.0%","93.8","21.5"
"2016","SFG","1460.1","631","599","3.69","3.76",".240","1.21",".287","8.07","2.71","0.97","2.98","74.3%","45.3%","1.30","10.8%","46.9%","5.7%","92.7","14.2"
"2016","LAD","1453.0","638","598","3.70","3.61",".230","1.19",".288","9.35","2.87","1.02","3.25","73.8%","42.8%","1.18","11.7%","46.9%","5.2%","93.1","20.0"
"2016","TOR","1459.1","666","615","3.79","4.04",".240","1.23",".282","8.10","2.84","1.13","2.85","74.4%","46.6%","1.40","13.0%","46.8%","6.0%","92.9","16.8"
"2016","CLE","1445.0","676","619","3.86","3.91",".240","1.24",".289","8.71","2.87","1.16","3.03","73.4%","46.7%","1.41","13.7%","47.0%","5.7%","93.6","18.2"
"2016","SEA","1457.0","707","647","4.00","4.30",".250","1.28",".292","8.14","2.84","1.32","2.87","74.9%","43.4%","1.19","13.8%","47.6%","5.9%","93.5","14.5"
"2016","BOS","1439.2","694","640","4.00","4.00",".243","1.27",".293","8.51","3.06","1.10","2.78","72.9%","41.5%","1.10","11.4%","46.8%","5.7%","93.8","18.8"
"2016","MIA","1435.0","682","646","4.05","3.97",".247","1.36",".303","8.65","3.73","0.95","2.32","74.0%","43.0%","1.25","10.9%","45.4%","5.2%","93.9","15.5"
"2016","HOU","1468.0","701","663","4.06","3.85",".253","1.29",".306","8.56","2.78","1.11","3.08","73.4%","45.2%","1.34","12.6%","45.7%","5.3%","92.9","17.6"
"2016","STL","1448.1","712","656","4.08","3.88",".254","1.32",".304","8.02","2.95","0.99","2.72","71.8%","49.5%","1.70","12.8%","46.2%","4.8%","94.1","16.6"
"2016","MIL","1434.1","733","653","4.10","4.37",".259","1.38",".300","7.37","3.34","1.12","2.21","73.1%","46.0%","1.39","12.4%","45.5%","5.1%","93.3","11.1"
"2016","CHW","1446.2","715","662","4.12","4.27",".254","1.34",".298","7.90","3.24","1.15","2.44","74.0%","43.1%","1.20","12.0%","46.1%","5.2%","93.1","17.1"
"2016","NYY","1428.1","702","661","4.16","4.20",".246","1.26",".292","8.78","2.80","1.35","3.14","74.2%","46.9%","1.39","15.5%","47.2%","5.7%","95.3","18.7"
"2016","TBR","1426.1","713","665","4.20","4.26",".251","1.32",".297","8.56","3.10","1.33","2.76","74.2%","41.0%","1.05","13.1%","46.8%","6.5%","93.3","10.6"
"2016","KCR","1440.0","712","674","4.21","4.42",".256","1.35",".298","8.04","3.23","1.29","2.49","75.4%","44.3%","1.23","13.4%","46.8%","6.9%","93.8","12.1"
"2016","BAL","1432.0","715","671","4.22","4.31",".255","1.36",".299","7.84","3.43","1.15","2.29","73.7%","44.8%","1.31","12.6%","46.2%","5.2%","93.3","15.7"
"2016","PIT","1450.2","758","681","4.22","4.30",".262","1.40",".306","7.64","3.31","1.12","2.31","72.5%","46.9%","1.48","13.0%","46.9%","5.0%","94.0","9.0"
"2016","DET","1428.0","721","673","4.24","4.16",".256","1.32",".300","7.76","2.91","1.15","2.67","72.2%","44.5%","1.21","11.7%","47.6%","5.9%","93.4","18.5"
"2016","LAA","1421.1","727","676","4.28","4.62",".266","1.39",".301","7.19","3.15","1.32","2.28","75.0%","40.8%","1.07","12.5%","46.7%","6.5%","92.0","8.0"
"2016","TEX","1443.0","757","703","4.38","4.58",".257","1.37",".292","7.20","3.33","1.25","2.16","72.8%","45.5%","1.34","13.5%","46.5%","5.7%","92.9","12.6"
"2016","SDP","1440.0","770","711","4.44","4.40",".254","1.38",".296","7.64","3.56","1.14","2.15","71.3%","46.4%","1.38","12.6%","44.8%","5.5%","92.7","8.6"
"2016","ATL","1447.2","779","725","4.51","4.32",".251","1.35",".293","7.63","3.40","1.10","2.24","70.2%","44.7%","1.27","11.7%","46.2%","5.4%","93.8","9.0"
"2016","OAK","1433.1","761","719","4.51","4.24",".259","1.34",".299","7.46","2.91","1.16","2.56","70.7%","46.2%","1.37","12.5%","46.8%","5.8%","93.0","13.7"
"2016","PHI","1437.0","796","741","4.64","4.34",".260","1.35",".304","8.14","2.92","1.33","2.79","70.5%","41.0%","1.13","13.8%","46.2%","6.0%","93.0","13.9"
"2016","CIN","1442.0","854","787","4.91","5.24",".259","1.45",".290","7.75","3.97","1.61","1.95","72.8%","41.6%","1.10","15.9%","45.7%","6.6%","93.0","1.0"
"2016","COL","1429.1","860","781","4.92","4.38",".270","1.45",".317","7.70","3.44","1.14","2.24","68.0%","49.1%","1.66","14.1%","46.5%","5.2%","93.7","13.1"
"2016","MIN","1443.0","889","816","5.09","4.57",".279","1.45",".319","7.43","2.99","1.38","2.49","68.3%","43.0%","1.22","13.9%","46.3%","6.6%","92.5","10.7"
"2016","ARI","1451.1","890","821","5.09","4.50",".271","1.49",".320","8.17","3.74","1.25","2.19","68.7%","46.0%","1.41","14.1%","46.1%","6.5%","93.7","10.1"
