"Season","Team","IP","R","ER","ERA","FIP","AVG","WHIP","BABIP","K/9","BB/9","HR/9","K/BB","LOB%","GB%","GB/FB","HR/FB","Swing%","Barrel%","vFA (pi)","WAR"
"2012","TBR","1459.2","577","518","3.19","3.51",".225","1.17",".277","8.53","2.89","0.86","2.95","75.5%","47.9%","1.48","10.7%","45.2%","","93.6","20.4"
"2012","WSN","1468.1","594","545","3.34","3.54",".232","1.22",".282","8.12","3.05","0.79","2.67","75.1%","46.3%","1.37","9.2%","45.8%","","94.3","19.5"
"2012","CIN","1453.0","588","540","3.34","3.72",".243","1.23",".288","7.73","2.64","0.94","2.92","76.9%","45.9%","1.37","10.7%","46.1%","","93.9","18.7"
"2012","LAD","1449.2","597","540","3.35","3.64",".233","1.25",".283","7.92","3.35","0.76","2.37","74.8%","45.5%","1.35","8.9%","45.7%","","92.5","20.8"
"2012","ATL","1445.1","600","549","3.42","3.74",".239","1.23",".284","7.67","2.89","0.90","2.66","75.4%","47.2%","1.46","10.8%","45.2%","","92.0","11.4"
"2012","OAK","1470.0","614","571","3.50","3.89",".242","1.24",".279","6.96","2.83","0.90","2.46","75.4%","41.7%","1.14","9.1%","45.9%","","92.2","19.5"
"2012","SFG","1451.0","649","593","3.68","3.78",".243","1.27",".289","7.67","3.03","0.88","2.53","73.6%","46.0%","1.36","9.9%","45.1%","","91.4","10.9"
"2012","STL","1462.2","648","603","3.71","3.62",".250","1.27",".298","7.49","2.68","0.82","2.79","73.2%","48.5%","1.62","10.4%","46.3%","","94.0","16.2"
"2012","SEA","1456.2","651","609","3.76","4.00",".244","1.24",".282","7.20","2.77","1.03","2.60","74.2%","42.9%","1.18","10.6%","47.1%","","92.8","17.6"
"2012","DET","1430.2","670","599","3.77","3.63",".253","1.29",".307","8.29","2.76","0.95","3.01","72.7%","43.4%","1.25","10.5%","47.0%","","93.8","24.5"
"2012","NYY","1445.1","668","619","3.85","3.98",".250","1.27",".296","8.21","2.68","1.18","3.06","75.1%","44.9%","1.30","13.0%","45.2%","","92.3","17.0"
"2012","PHI","1451.1","680","622","3.86","3.72",".247","1.24",".298","8.59","2.54","1.10","3.39","72.9%","43.5%","1.22","12.1%","47.0%","","92.3","19.8"
"2012","BAL","1483.0","705","642","3.90","4.20",".249","1.29",".285","7.14","2.92","1.12","2.45","73.8%","44.7%","1.28","11.7%","45.9%","","92.2","16.0"
"2012","PIT","1433.1","674","623","3.91","3.94",".244","1.29",".286","7.48","3.08","0.96","2.43","72.6%","46.6%","1.42","11.0%","46.6%","","93.0","13.7"
"2012","ARI","1433.2","688","628","3.94","3.81",".256","1.29",".301","7.53","2.62","0.97","2.88","72.0%","46.1%","1.40","11.0%","46.8%","","91.9","15.3"
"2012","SDP","1434.2","710","640","4.01","4.11",".244","1.32",".284","7.56","3.38","1.02","2.24","71.8%","47.5%","1.46","11.7%","44.4%","","92.7","7.8"
"2012","LAA","1433.1","699","640","4.02","4.26",".243","1.27",".277","7.26","3.03","1.17","2.40","72.6%","43.9%","1.23","12.1%","44.6%","","92.7","10.4"
"2012","TEX","1442.0","707","644","4.02","3.90",".247","1.26",".292","8.03","2.78","1.09","2.88","71.5%","43.9%","1.24","11.6%","45.8%","","93.5","22.2"
"2012","CHW","1445.2","676","646","4.02","4.23",".247","1.29",".288","7.76","3.13","1.16","2.48","75.2%","42.7%","1.17","12.1%","45.3%","","92.6","16.2"
"2012","NYM","1434.0","709","652","4.09","3.93",".246","1.29",".290","7.78","3.06","1.01","2.54","71.1%","42.6%","1.16","10.5%","46.3%","","91.3","14.3"
"2012","MIA","1440.2","724","657","4.10","3.89",".257","1.35",".300","6.95","3.09","0.83","2.25","70.3%","45.0%","1.37","9.2%","45.2%","","92.2","13.5"
"2012","MIL","1453.2","733","682","4.22","3.82",".256","1.36",".313","8.68","3.25","1.05","2.67","72.1%","43.8%","1.31","12.1%","43.3%","","92.2","14.3"
"2012","KCR","1451.1","746","693","4.30","4.18",".266","1.41",".311","7.30","3.36","1.01","2.17","72.4%","43.2%","1.22","10.5%","45.3%","","92.9","15.1"
"2012","CHC","1413.2","759","708","4.51","4.46",".254","1.39",".291","7.18","3.65","1.11","1.97","71.3%","43.2%","1.24","11.8%","44.5%","","92.5","4.4"
"2012","HOU","1423.1","794","722","4.57","4.27",".264","1.43",".306","7.40","3.41","1.09","2.17","70.0%","47.9%","1.47","12.2%","45.2%","","92.7","9.3"
"2012","TOR","1443.2","784","745","4.64","4.66",".258","1.39",".291","7.12","3.58","1.27","1.99","72.0%","46.5%","1.39","14.1%","44.2%","","92.2","6.9"
"2012","BOS","1443.0","806","757","4.72","4.41",".258","1.37",".296","7.33","3.30","1.19","2.22","69.6%","46.4%","1.41","13.2%","45.6%","","93.3","6.4"
"2012","MIN","1438.2","832","762","4.77","4.66",".270","1.39",".294","5.90","2.91","1.24","2.03","68.8%","45.7%","1.37","12.7%","46.3%","","91.8","5.9"
"2012","CLE","1442.0","845","767","4.79","4.40",".264","1.42",".300","6.78","3.39","1.09","2.00","67.6%","45.9%","1.36","11.4%","45.1%","","93.0","12.6"
"2012","COL","1422.0","890","824","5.22","4.59",".284","1.55",".325","7.24","3.58","1.25","2.02","68.9%","45.2%","1.40","13.7%","45.0%","","92.9","9.2"
