"Season","Team","IP","R","ER","ERA","FIP","AVG","WHIP","BABIP","K/9","BB/9","HR/9","K/BB","LOB%","GB%","GB/FB","HR/FB","Swing%","Barrel%","vFA (pi)","WAR"
"2006","DET","1448.0","675","620","3.85","4.32",".253","1.32",".284","6.23","3.04","0.99","2.05","74.1%","45.5%","1.29","10.0%","45.6%","","","18.5"
"2006","SDP","1463.2","679","631","3.88","4.27",".245","1.27",".276","6.75","2.88","1.08","2.34","73.9%","41.5%","1.05","10.1%","47.1%","","","16.4"
"2006","MIN","1439.1","683","632","3.95","3.99",".263","1.28",".302","7.28","2.23","1.14","3.27","73.7%","43.7%","1.20","11.3%","49.0%","","","20.6"
"2006","LAA","1452.2","732","652","4.04","4.03",".251","1.29",".291","7.21","2.92","0.98","2.47","70.1%","42.3%","1.08","9.2%","46.0%","","","21.3"
"2006","HOU","1468.2","719","668","4.09","4.27",".251","1.30",".286","7.11","2.94","1.12","2.42","72.8%","45.2%","1.27","11.6%","47.0%","","","19.2"
"2006","NYM","1461.1","731","675","4.16","4.37",".248","1.32",".284","7.15","3.25","1.11","2.20","72.5%","43.3%","1.16","11.0%","44.4%","","","16.2"
"2006","OAK","1451.2","727","680","4.22","4.42",".268","1.41",".301","6.22","3.28","1.00","1.90","73.4%","42.6%","1.12","9.2%","45.1%","","","17.2"
"2006","LAD","1460.1","751","686","4.23","4.13",".265","1.38",".302","6.58","3.03","0.94","2.17","70.8%","47.8%","1.40","9.7%","45.4%","","","19.7"
"2006","FLA","1433.1","772","696","4.37","4.59",".262","1.46",".299","6.83","3.91","1.04","1.75","72.0%","42.7%","1.13","10.0%","43.9%","","","12.2"
"2006","TOR","1428.1","754","694","4.37","4.51",".259","1.37",".292","6.78","3.18","1.17","2.13","71.7%","46.3%","1.36","12.3%","45.4%","","","15.4"
"2006","NYY","1443.2","767","710","4.43","4.42",".258","1.36",".289","6.35","3.09","1.06","2.05","70.3%","43.3%","1.12","9.6%","46.5%","","","17.3"
"2006","CLE","1423.1","782","701","4.43","4.34",".277","1.41",".308","5.99","2.71","1.05","2.21","70.0%","44.7%","1.26","10.0%","48.2%","","","16.4"
"2006","ARI","1459.2","788","728","4.49","4.34",".262","1.40",".299","6.87","3.30","1.04","2.08","70.4%","46.8%","1.40","11.1%","45.4%","","","19.0"
"2006","CIN","1445.2","801","728","4.53","4.69",".272","1.41",".301","6.56","2.89","1.33","2.27","72.1%","41.5%","1.09","12.2%","46.8%","","","14.7"
"2006","STL","1429.2","762","721","4.54","4.77",".263","1.38",".288","6.11","3.17","1.21","1.92","72.5%","46.2%","1.35","12.5%","44.3%","","","7.8"
"2006","PIT","1435.0","797","725","4.55","4.53",".273","1.51",".312","6.65","3.89","0.98","1.71","71.3%","45.5%","1.33","10.4%","45.4%","","","12.5"
"2006","ATL","1441.1","805","736","4.60","4.65",".267","1.46",".300","6.55","3.57","1.14","1.83","71.1%","45.0%","1.30","11.6%","45.4%","","","11.0"
"2006","SEA","1446.2","792","739","4.60","4.59",".264","1.42",".297","6.64","3.48","1.14","1.91","71.1%","42.9%","1.14","10.7%","45.8%","","","13.4"
"2006","TEX","1431.1","784","733","4.61","4.44",".275","1.44",".307","6.11","3.12","1.02","1.96","70.6%","46.4%","1.38","10.4%","46.2%","","","15.8"
"2006","PHI","1460.1","812","748","4.61","4.65",".270","1.42",".304","7.01","3.16","1.30","2.22","71.9%","43.7%","1.22","13.0%","45.7%","","","14.2"
"2006","CHW","1449.0","794","743","4.61","4.56",".267","1.36",".295","6.29","2.69","1.24","2.34","70.5%","42.9%","1.12","11.2%","47.8%","","","19.2"
"2006","SFG","1429.2","790","737","4.64","4.52",".255","1.40",".287","6.24","3.68","0.96","1.70","69.1%","41.9%","1.08","8.9%","45.0%","","","13.0"
"2006","COL","1447.1","812","749","4.66","4.51",".272","1.45",".304","5.92","3.44","0.96","1.72","69.5%","45.7%","1.32","9.6%","45.6%","","","17.3"
"2006","CHC","1439.0","834","758","4.74","4.88",".249","1.45",".286","7.82","4.30","1.31","1.82","70.9%","41.6%","1.07","12.8%","44.2%","","","10.4"
"2006","BOS","1441.1","825","773","4.83","4.50",".275","1.44",".311","6.68","3.18","1.13","2.10","69.8%","43.8%","1.20","10.8%","46.3%","","","13.4"
"2006","MIL","1425.2","833","765","4.83","4.39",".259","1.38",".297","7.23","3.24","1.12","2.23","67.4%","42.1%","1.11","10.8%","45.9%","","","16.2"
"2006","TBD","1420.1","856","784","4.97","4.83",".280","1.55",".312","6.20","3.84","1.14","1.62","70.1%","42.5%","1.13","10.3%","44.7%","","","8.8"
"2006","WSN","1436.1","872","803","5.03","4.97",".267","1.48",".292","6.02","3.66","1.21","1.64","69.0%","39.6%","0.97","10.2%","45.1%","","","4.6"
"2006","BAL","1419.0","899","844","5.35","5.09",".279","1.54",".307","6.44","3.89","1.37","1.66","69.2%","42.3%","1.13","12.7%","44.2%","","","7.6"
"2006","KCR","1426.1","971","899","5.67","5.29",".287","1.60",".311","5.70","4.02","1.34","1.42","67.1%","42.2%","1.13","12.1%","44.3%","","","0.5"
