"Season","Team","IP","R","ER","ERA","FIP","AVG","WHIP","BABIP","K/9","BB/9","HR/9","K/BB","LOB%","GB%","GB/FB","HR/FB","Swing%","Barrel%","vFA (pi)","WAR"
"2004","STL","1453.2","659","605","3.75","4.17",".246","1.25",".276","6.45","2.72","1.05","2.37","74.4%","48.0%","1.49","11.9%","44.4%","","","16.4"
"2004","ATL","1450.0","668","604","3.75","4.15",".260","1.38",".294","6.36","3.25","0.96","1.96","75.0%","47.1%","1.48","10.7%","45.2%","","","16.1"
"2004","CHC","1465.1","665","623","3.83","3.98",".242","1.30",".289","8.27","3.35","1.04","2.47","75.5%","44.8%","1.29","11.7%","46.3%","","","22.3"
"2004","LAD","1453.1","684","647","4.01","4.36",".248","1.31",".279","6.60","3.23","1.10","2.05","74.6%","41.4%","1.08","10.7%","45.9%","","","16.2"
"2004","SDP","1441.0","705","645","4.03","4.19",".258","1.31",".290","6.74","2.64","1.15","2.56","73.2%","42.9%","1.17","11.2%","46.9%","","","15.5"
"2004","MIN","1476.0","715","663","4.04","3.98",".263","1.32",".302","6.85","2.63","1.02","2.61","72.9%","44.6%","1.24","10.2%","46.8%","","","22.4"
"2004","HOU","1443.0","698","650","4.05","4.07",".252","1.35",".299","8.00","3.27","1.09","2.44","74.3%","44.2%","1.27","11.9%","46.6%","","","20.7"
"2004","FLA","1439.0","700","655","4.10","4.17",".252","1.33",".288","6.98","3.21","1.04","2.18","72.9%","43.7%","1.21","10.7%","47.0%","","","16.6"
"2004","NYM","1449.0","731","660","4.10","4.43",".255","1.41",".284","6.07","3.68","0.97","1.65","72.7%","45.7%","1.33","9.9%","44.0%","","","12.3"
"2004","OAK","1471.1","742","682","4.17","4.34",".257","1.37",".289","6.32","3.33","1.00","1.90","72.3%","46.9%","1.38","10.5%","45.9%","","","17.7"
"2004","BOS","1451.1","768","676","4.19","4.03",".252","1.29",".289","7.02","2.77","0.99","2.53","68.8%","45.4%","1.27","9.9%","47.2%","","","20.6"
"2004","MIL","1442.0","757","683","4.26","4.10",".254","1.33",".289","6.85","2.97","1.02","2.31","69.6%","44.0%","1.21","10.1%","46.1%","","","19.0"
"2004","ANA","1454.1","734","692","4.28","4.09",".259","1.36",".299","7.20","3.11","1.05","2.32","72.2%","41.9%","1.06","9.7%","45.5%","","","19.6"
"2004","PIT","1428.0","744","684","4.31","4.24",".261","1.42",".301","6.80","3.63","0.94","1.87","71.5%","45.0%","1.30","9.9%","46.8%","","","15.6"
"2004","MON","1447.0","769","696","4.33","4.71",".262","1.42",".291","6.42","3.62","1.19","1.77","73.2%","44.6%","1.28","12.1%","44.5%","","","9.7"
"2004","SFG","1457.0","770","703","4.34","4.31",".259","1.39",".290","6.30","3.39","0.99","1.86","70.6%","44.9%","1.28","10.0%","45.0%","","","12.7"
"2004","PHI","1462.2","781","726","4.47","4.65",".259","1.36",".286","6.58","3.09","1.32","2.13","72.6%","42.4%","1.11","12.3%","47.1%","","","13.4"
"2004","TEX","1439.2","794","727","4.54","4.64",".269","1.45",".297","6.12","3.42","1.14","1.79","71.8%","44.5%","1.25","11.0%","45.2%","","","14.9"
"2004","NYY","1443.2","808","752","4.69","4.27",".267","1.37",".300","6.60","2.77","1.13","2.38","69.0%","43.1%","1.14","10.5%","47.8%","","","18.6"
"2004","BAL","1455.1","830","761","4.71","4.52",".261","1.49",".298","6.74","4.25","0.98","1.59","69.8%","45.6%","1.29","9.9%","44.7%","","","15.7"
"2004","SEA","1459.1","823","772","4.76","4.85",".261","1.42",".286","6.39","3.55","1.31","1.80","71.5%","39.3%","0.97","11.3%","43.9%","","","8.9"
"2004","CLE","1466.2","857","785","4.82","4.62",".267","1.45",".301","6.84","3.55","1.23","1.93","69.9%","43.8%","1.23","12.3%","45.9%","","","9.4"
"2004","TBD","1417.0","842","759","4.82","4.93",".261","1.44",".283","5.86","3.68","1.22","1.59","69.2%","40.9%","1.05","10.7%","44.8%","","","7.2"
"2004","CHW","1432.1","831","782","4.91","4.87",".268","1.42",".293","6.37","3.31","1.41","1.92","70.7%","43.5%","1.20","13.8%","44.7%","","","13.0"
"2004","DET","1439.2","844","788","4.93","4.60",".270","1.44",".299","6.22","3.31","1.19","1.88","68.9%","45.9%","1.31","11.7%","45.7%","","","10.9"
"2004","TOR","1421.0","823","778","4.93","4.77",".268","1.49",".296","6.05","3.85","1.15","1.57","70.3%","44.7%","1.26","11.2%","44.2%","","","11.7"
"2004","ARI","1436.0","899","795","4.98","4.78",".261","1.50",".297","7.23","4.19","1.23","1.73","68.0%","46.1%","1.39","13.5%","44.7%","","","10.6"
"2004","KCR","1420.1","905","815","5.16","4.92",".285","1.52",".307","5.62","3.28","1.32","1.71","68.0%","41.0%","1.06","11.3%","45.1%","","","9.0"
"2004","CIN","1443.2","907","836","5.21","5.10",".274","1.50",".296","6.18","3.57","1.47","1.73","69.5%","42.5%","1.16","13.7%","45.8%","","","5.6"
"2004","COL","1435.1","923","883","5.54","5.13",".283","1.62",".311","5.94","4.37","1.24","1.36","69.6%","45.3%","1.32","12.3%","44.0%","","","7.3"
