"Season","Team","IP","R","ER","ERA","FIP","AVG","WHIP","BABIP","K/9","BB/9","HR/9","K/BB","LOB%","GB%","GB/FB","HR/FB","Swing%","Barrel%","vFA (pi)","WAR"
"2011","PHI","1477.0","529","496","3.02","3.24",".235","1.17",".286","7.92","2.46","0.73","3.22","77.5%","46.5%","1.35","8.3%","46.7%","","92.5","29.5"
"2011","SFG","1468.0","578","523","3.21","3.33",".228","1.24",".283","8.07","3.43","0.59","2.35","74.4%","46.4%","1.37","6.9%","44.6%","","92.2","17.3"
"2011","SDP","1449.1","611","552","3.43","3.73",".240","1.27",".283","7.07","3.24","0.78","2.19","74.5%","44.0%","1.23","8.2%","45.5%","","92.4","15.1"
"2011","ATL","1479.2","605","573","3.49","3.49",".236","1.25",".288","8.10","3.17","0.76","2.56","75.2%","47.5%","1.47","9.2%","44.9%","","92.6","14.2"
"2011","LAD","1432.0","612","567","3.56","3.61",".236","1.25",".285","7.95","3.19","0.83","2.50","74.1%","42.8%","1.16","8.8%","46.6%","","92.7","20.0"
"2011","LAA","1465.0","633","581","3.57","3.89",".247","1.27",".282","6.50","2.92","0.87","2.22","74.5%","44.9%","1.24","8.8%","45.1%","","93.0","15.0"
"2011","WSN","1449.1","643","577","3.58","3.83",".250","1.30",".287","6.51","2.96","0.80","2.20","73.6%","44.6%","1.25","8.2%","45.3%","","93.2","11.6"
"2011","TBR","1449.0","614","577","3.58","4.03",".231","1.22",".265","7.10","3.13","1.00","2.27","75.5%","42.1%","1.08","9.8%","45.6%","","92.8","16.8"
"2011","MIL","1441.2","638","583","3.64","3.59",".242","1.24",".288","7.85","2.75","0.92","2.86","73.2%","44.7%","1.25","9.7%","44.7%","","91.8","16.8"
"2011","OAK","1447.2","679","597","3.71","3.80",".246","1.31",".289","7.21","3.23","0.85","2.24","72.1%","44.1%","1.19","8.5%","44.7%","","92.2","18.0"
"2011","NYY","1458.1","657","605","3.73","3.87",".252","1.32",".297","7.54","3.13","0.94","2.41","75.0%","44.2%","1.25","9.9%","45.3%","","92.9","17.3"
"2011","STL","1462.0","692","615","3.79","3.75",".256","1.31",".296","6.76","2.76","0.84","2.45","71.6%","47.7%","1.47","9.3%","45.5%","","93.2","12.0"
"2011","TEX","1441.1","677","607","3.79","3.98",".241","1.24",".278","7.36","2.88","1.06","2.56","72.5%","42.6%","1.14","10.7%","44.8%","","93.3","19.2"
"2011","ARI","1443.1","662","609","3.80","4.02",".252","1.29",".286","6.60","2.76","0.99","2.39","73.9%","41.9%","1.10","9.5%","46.9%","","92.0","11.8"
"2011","SEA","1433.0","675","623","3.91","3.84",".248","1.26",".285","6.83","2.74","0.91","2.50","71.4%","43.8%","1.20","9.1%","46.3%","","92.3","17.4"
"2011","FLA","1459.2","702","641","3.95","3.79",".248","1.30",".292","7.51","3.08","0.92","2.44","71.5%","44.6%","1.24","9.6%","46.3%","","92.3","15.3"
"2011","DET","1440.0","711","647","4.04","3.96",".253","1.32",".292","6.97","3.08","0.93","2.27","71.1%","44.5%","1.22","9.3%","45.0%","","94.0","16.7"
"2011","PIT","1449.1","712","652","4.05","4.20",".265","1.41",".300","6.40","3.32","0.94","1.93","73.7%","45.6%","1.34","9.8%","46.1%","","93.2","8.5"
"2011","CHW","1460.0","706","665","4.10","3.66",".256","1.30",".303","7.52","2.71","0.91","2.78","71.3%","44.2%","1.24","9.4%","46.6%","","92.6","23.2"
"2011","CIN","1467.2","720","678","4.16","4.37",".250","1.33",".282","6.82","3.31","1.13","2.06","73.7%","44.8%","1.24","11.5%","45.6%","","92.6","6.2"
"2011","NYM","1448.0","742","674","4.19","4.00",".259","1.38",".299","7.00","3.19","0.91","2.19","71.2%","46.1%","1.31","9.4%","46.0%","","92.0","11.9"
"2011","BOS","1457.1","737","680","4.20","4.05",".243","1.31",".285","7.49","3.33","0.96","2.25","70.8%","42.3%","1.07","9.1%","45.7%","","92.8","14.3"
"2011","CLE","1453.1","760","685","4.24","4.06",".259","1.34",".293","6.34","2.87","0.95","2.21","69.5%","45.4%","1.30","9.5%","46.4%","","92.7","17.7"
"2011","TOR","1458.2","761","701","4.33","4.29",".253","1.35",".290","7.21","3.33","1.10","2.16","71.6%","44.4%","1.23","11.3%","45.1%","","92.7","10.7"
"2011","CHC","1434.1","756","692","4.34","4.11",".256","1.41",".301","7.68","3.64","1.02","2.11","71.3%","43.0%","1.17","10.3%","45.3%","","92.0","11.0"
"2011","COL","1447.2","774","714","4.44","4.24",".261","1.38",".298","6.95","3.25","1.09","2.14","70.6%","46.1%","1.35","11.6%","45.7%","","93.0","13.6"
"2011","KCR","1451.1","762","717","4.45","4.27",".262","1.41",".299","6.70","3.45","1.01","1.94","71.5%","43.9%","1.19","9.9%","44.5%","","93.1","10.7"
"2011","HOU","1435.0","796","719","4.51","4.35",".261","1.42",".301","7.47","3.51","1.18","2.13","70.8%","43.2%","1.20","12.0%","45.2%","","92.1","5.6"
"2011","MIN","1421.2","804","726","4.60","4.30",".276","1.44",".307","5.95","3.04","1.02","1.96","69.1%","44.0%","1.21","9.5%","46.5%","","92.1","7.7"
"2011","BAL","1446.2","860","791","4.92","4.67",".273","1.45",".302","6.49","3.33","1.31","1.95","69.5%","43.1%","1.15","12.1%","44.6%","","92.1","4.9"
