"Season","Team","IP","R","ER","ERA","FIP","AVG","WHIP","BABIP","K/9","BB/9","HR/9","K/BB","LOB%","GB%","GB/FB","HR/FB","Swing%","Barrel%","vFA (pi)","WAR"
"2007","SDP","1484.2","666","614","3.72","3.81",".245","1.27",".287","6.89","2.87","0.72","2.40","71.6%","45.8%","1.27","7.4%","46.3%","","90.1","22.7"
"2007","BOS","1438.2","657","618","3.87","4.14",".244","1.27",".284","7.19","3.02","0.94","2.38","73.5%","42.6%","1.06","8.7%","45.6%","","90.5","18.4"
"2007","TOR","1448.2","699","644","4.00","4.28",".248","1.29",".282","6.63","2.98","0.98","2.23","71.8%","48.7%","1.46","10.6%","44.9%","","91.9","17.5"
"2007","CHC","1446.2","690","650","4.04","4.36",".241","1.32",".281","7.53","3.56","1.03","2.11","73.6%","41.3%","1.02","9.6%","46.3%","","91.0","17.7"
"2007","CLE","1462.2","704","659","4.05","4.06",".265","1.32",".302","6.44","2.52","0.90","2.55","71.9%","45.3%","1.24","8.7%","47.3%","","89.8","20.5"
"2007","ATL","1456.1","733","665","4.11","4.45",".254","1.36",".288","6.83","3.32","1.06","2.06","72.4%","45.3%","1.26","10.8%","45.9%","","91.3","13.1"
"2007","ARI","1441.0","732","662","4.13","4.52",".258","1.38",".293","6.80","3.41","1.06","1.99","72.7%","43.9%","1.18","10.3%","44.7%","","90.2","16.0"
"2007","MIN","1436.2","725","667","4.18","4.37",".266","1.34",".301","6.85","2.63","1.16","2.60","72.9%","42.9%","1.11","10.6%","48.4%","","92.5","13.7"
"2007","SFG","1453.2","720","678","4.20","4.30",".255","1.40",".293","6.54","3.67","0.82","1.78","71.8%","43.0%","1.12","7.7%","44.5%","","90.2","16.0"
"2007","LAD","1450.0","727","677","4.20","4.07",".256","1.35",".301","7.35","3.22","0.91","2.29","70.9%","45.5%","1.30","9.6%","46.0%","","92.0","20.0"
"2007","LAA","1435.0","731","674","4.23","4.10",".263","1.36",".307","7.25","2.99","0.95","2.42","71.1%","42.2%","1.07","8.6%","44.0%","","92.0","20.0"
"2007","NYM","1452.1","750","689","4.27","4.46",".250","1.37",".287","7.03","3.53","1.02","1.99","71.4%","40.8%","1.01","9.2%","44.3%","","90.5","14.6"
"2007","OAK","1448.0","758","692","4.30","4.23",".259","1.38",".296","6.44","3.29","0.86","1.95","69.4%","44.8%","1.22","8.3%","45.3%","","90.3","17.0"
"2007","COL","1472.0","758","706","4.32","4.52",".261","1.36",".290","5.91","3.08","1.00","1.92","71.1%","46.5%","1.31","9.9%","44.6%","","92.0","16.5"
"2007","MIL","1444.1","776","713","4.44","4.22",".264","1.40",".308","7.32","3.16","1.00","2.32","70.2%","41.5%","1.05","9.2%","45.9%","","91.7","18.8"
"2007","NYY","1450.2","777","725","4.50","4.51",".264","1.43",".299","6.26","3.59","0.93","1.75","70.6%","42.8%","1.11","8.5%","44.9%","","91.6","13.5"
"2007","KCR","1437.1","778","719","4.50","4.55",".272","1.44",".304","6.22","3.26","1.05","1.91","71.0%","41.1%","1.05","9.3%","45.4%","","91.5","12.1"
"2007","WSN","1446.2","783","736","4.58","4.92",".263","1.44",".286","5.79","3.61","1.16","1.61","72.0%","39.7%","0.95","9.6%","44.7%","","89.7","4.4"
"2007","DET","1447.1","797","737","4.58","4.67",".262","1.43",".295","6.51","3.52","1.08","1.85","70.7%","44.2%","1.18","10.2%","45.1%","","92.5","11.1"
"2007","STL","1435.2","829","745","4.67","4.66",".266","1.41",".293","5.92","3.19","1.05","1.86","68.1%","43.5%","1.16","9.6%","45.8%","","91.2","9.8"
"2007","HOU","1464.2","813","765","4.70","4.73",".268","1.42",".300","6.81","3.13","1.27","2.17","71.7%","44.0%","1.13","11.5%","46.4%","","90.8","11.8"
"2007","TEX","1430.0","844","756","4.76","4.83",".270","1.53",".303","6.14","4.20","0.98","1.46","69.4%","46.5%","1.34","9.7%","44.3%","","91.5","9.1"
"2007","PHI","1458.1","821","772","4.76","4.86",".270","1.45",".301","6.48","3.44","1.22","1.88","71.5%","43.5%","1.20","11.9%","45.8%","","90.8","9.9"
"2007","SEA","1434.1","813","760","4.77","4.42",".277","1.48",".315","6.40","3.43","0.92","1.87","69.3%","43.6%","1.15","8.4%","45.0%","","90.3","14.2"
"2007","CHW","1440.2","839","764","4.77","4.56",".271","1.43",".304","6.34","3.12","1.09","2.03","68.2%","42.9%","1.12","9.8%","46.1%","","91.2","17.2"
"2007","PIT","1447.2","846","795","4.94","4.66",".281","1.48",".315","6.20","3.22","1.08","1.92","69.5%","44.1%","1.18","10.0%","46.6%","","91.3","10.9"
"2007","CIN","1449.2","853","798","4.95","4.69",".277","1.44",".310","6.63","2.99","1.23","2.22","69.4%","40.0%","1.00","10.7%","46.5%","","89.9","15.0"
"2007","FLA","1443.2","891","795","4.96","4.77",".278","1.58",".321","7.12","4.12","1.10","1.73","69.4%","41.7%","1.09","10.2%","45.5%","","91.3","8.3"
"2007","BAL","1438.2","868","829","5.19","4.78",".264","1.52",".302","6.80","4.35","1.01","1.56","68.4%","44.9%","1.21","9.7%","43.2%","","90.4","11.0"
"2007","TBD","1429.2","944","879","5.53","4.70",".286","1.55",".331","7.52","3.58","1.25","2.10","66.8%","41.8%","1.05","11.1%","45.9%","","92.0","9.2"
