"Season","Team","IP","R","ER","ERA","FIP","AVG","WHIP","BABIP","K/9","BB/9","HR/9","K/BB","LOB%","GB%","GB/FB","HR/FB","Swing%","Barrel%","vFA (pi)","WAR"
"2021","LAD","1452.0","561","489","3.03","3.54",".205","1.10",".260","9.91","3.01","1.00","3.29","76.5%","44.5%","1.22","11.8%","48.2%","6.3%","94.1","26.9"
"2021","SFG","1455.0","594","525","3.25","3.55",".227","1.15",".279","8.81","2.57","0.93","3.43","74.9%","45.6%","1.33","10.9%","48.8%","6.4%","93.7","21.9"
"2021","MIL","1436.0","623","558","3.50","3.72",".215","1.18",".275","10.14","3.37","1.05","3.01","74.7%","44.5%","1.30","13.3%","46.4%","6.7%","93.2","23.6"
"2021","TBR","1455.2","651","594","3.67","3.79",".230","1.17",".281","9.14","2.70","1.14","3.39","73.7%","41.5%","1.10","12.3%","49.3%","8.5%","94.1","18.7"
"2021","CHW","1403.1","636","581","3.73","3.74",".226","1.20",".288","10.18","3.11","1.17","3.27","74.4%","41.2%","1.07","12.8%","48.0%","7.7%","95.5","27.1"
"2021","NYY","1435.1","669","600","3.76","3.90",".228","1.21",".284","9.84","3.08","1.23","3.19","74.0%","41.9%","1.06","12.9%","48.5%","7.7%","94.9","22.3"
"2021","HOU","1445.0","658","610","3.80","4.12",".226","1.23",".275","9.07","3.42","1.16","2.65","75.1%","44.7%","1.28","13.6%","45.8%","7.3%","93.2","16.9"
"2021","ATL","1410.2","656","610","3.89","4.09",".231","1.24",".280","9.04","3.29","1.17","2.75","74.4%","43.7%","1.25","13.5%","47.6%","7.8%","94.3","16.0"
"2021","NYM","1379.1","668","597","3.90","4.04",".233","1.23",".287","9.48","3.10","1.24","3.06","73.2%","42.5%","1.16","13.9%","47.9%","8.0%","94.5","16.4"
"2021","TOR","1405.1","663","610","3.91","4.18",".234","1.23",".284","9.40","3.03","1.34","3.10","75.5%","43.0%","1.16","14.5%","47.3%","8.5%","93.5","14.6"
"2021","MIA","1415.0","701","622","3.96","4.01",".237","1.28",".290","8.78","3.36","1.03","2.61","71.6%","44.6%","1.31","12.0%","48.1%","7.4%","93.8","15.1"
"2021","STL","1417.0","672","629","4.00","4.30",".231","1.30",".272","7.78","3.86","0.97","2.01","73.2%","43.7%","1.26","10.8%","45.1%","7.0%","93.4","12.1"
"2021","OAK","1433.0","687","640","4.02","4.10",".245","1.26",".290","8.37","2.76","1.20","3.03","73.7%","40.3%","1.04","11.8%","48.2%","7.9%","93.2","15.1"
"2021","SDP","1430.0","708","651","4.10","4.18",".234","1.25",".287","9.55","3.25","1.29","2.94","73.6%","42.8%","1.16","14.3%","46.5%","8.6%","94.4","12.8"
"2021","BOS","1419.0","749","674","4.27","3.95",".255","1.38",".323","9.68","3.46","1.12","2.80","71.9%","44.2%","1.25","12.6%","47.4%","7.6%","94.8","19.2"
"2021","SEA","1440.1","748","688","4.30","4.26",".244","1.28",".288","8.30","3.03","1.23","2.74","71.1%","40.5%","1.04","12.1%","48.8%","8.4%","93.2","14.3"
"2021","DET","1419.2","756","681","4.32","4.60",".249","1.37",".289","7.98","3.62","1.26","2.20","72.6%","44.5%","1.24","13.2%","46.9%","8.7%","94.1","10.2"
"2021","CLE","1408.0","727","679","4.34","4.43",".238","1.28",".282","8.89","3.34","1.38","2.66","72.8%","42.6%","1.15","14.7%","47.4%","8.8%","93.9","10.2"
"2021","PHI","1418.2","745","692","4.39","4.15",".241","1.29",".296","9.39","3.23","1.27","2.91","71.4%","45.4%","1.31","14.7%","48.1%","6.9%","94.1","17.9"
"2021","CIN","1434.1","760","703","4.41","4.34",".241","1.36",".297","9.56","3.87","1.29","2.47","72.6%","44.2%","1.25","14.8%","45.4%","7.1%","94.3","16.2"
"2021","KCR","1417.1","788","731","4.64","4.39",".251","1.39",".301","8.53","3.75","1.20","2.27","70.3%","42.2%","1.15","12.6%","45.6%","9.0%","94.0","12.5"
"2021","LAA","1421.2","804","741","4.69","4.25",".248","1.38",".305","9.20","3.75","1.19","2.45","69.6%","44.5%","1.29","13.5%","46.2%","7.4%","92.9","15.4"
"2021","TEX","1424.1","815","760","4.80","4.76",".254","1.34",".288","7.83","3.24","1.47","2.42","70.3%","42.4%","1.15","14.9%","47.2%","7.9%","93.6","4.5"
"2021","WSN","1394.1","820","747","4.82","4.87",".250","1.37",".289","8.69","3.54","1.59","2.46","71.0%","41.0%","1.07","16.0%","46.4%","9.3%","93.3","6.5"
"2021","COL","1397.0","796","749","4.83","4.47",".257","1.39",".302","8.18","3.47","1.26","2.35","69.8%","44.8%","1.34","14.3%","46.2%","7.1%","94.5","13.3"
"2021","MIN","1419.1","834","762","4.83","4.66",".252","1.32",".290","8.35","3.07","1.52","2.72","68.9%","41.0%","1.07","15.0%","48.4%","9.3%","92.2","8.2"
"2021","CHC","1412.2","839","766","4.88","4.88",".252","1.40",".294","8.65","3.80","1.50","2.28","70.9%","44.8%","1.33","17.2%","45.5%","8.1%","93.0","4.9"
"2021","PIT","1396.1","833","788","5.08","4.74",".257","1.44",".302","8.46","3.91","1.37","2.17","70.1%","40.9%","1.09","13.8%","46.7%","8.1%","93.4","5.0"
"2021","ARI","1417.1","893","811","5.15","4.88",".262","1.44",".299","7.86","3.52","1.47","2.23","68.2%","40.2%","1.04","13.8%","46.8%","8.2%","92.2","4.0"
"2021","BAL","1402.0","956","911","5.85","5.15",".270","1.48",".305","7.92","3.61","1.66","2.19","66.7%","39.7%","1.01","15.1%","46.9%","9.4%","92.9","7.9"
