"Season","Team","IP","R","ER","ERA","FIP","AVG","WHIP","BABIP","K/9","BB/9","HR/9","K/BB","LOB%","GB%","GB/FB","HR/FB","Swing%","Barrel%","vFA (pi)","WAR"
"2001","SEA","1465.0","627","576","3.54","4.12",".232","1.20",".260","6.46","2.86","0.98","2.26","74.8%","","","","","","","18.9"
"2001","OAK","1463.1","645","583","3.59","3.88",".246","1.25",".282","6.87","2.71","0.94","2.54","74.0%","","","","","","","23.9"
"2001","ATL","1447.1","643","578","3.59","3.96",".245","1.29",".283","7.05","3.10","0.95","2.27","74.5%","","","","","","","21.1"
"2001","ARI","1459.2","677","629","3.88","4.08",".243","1.24",".284","8.00","2.84","1.20","2.81","74.7%","","","","","","","21.8"
"2001","STL","1435.1","684","631","3.96","4.57",".251","1.33",".281","6.79","3.30","1.23","2.06","76.1%","","","","","","","12.2"
"2001","CHC","1437.0","701","643","4.03","3.91",".244","1.33",".294","8.42","3.44","1.03","2.44","72.7%","","","","","","","22.2"
"2001","NYY","1451.1","713","651","4.04","3.79",".253","1.31",".300","7.85","2.88","0.98","2.72","71.5%","","","","","","","26.1"
"2001","NYM","1445.2","713","655","4.08","4.07",".252","1.28",".290","7.41","2.73","1.16","2.72","72.4%","","","","","","","17.2"
"2001","PHI","1445.1","719","668","4.16","4.31",".253","1.35",".287","6.76","3.28","1.06","2.06","72.9%","","","","","","","13.6"
"2001","BOS","1448.0","745","672","4.18","3.94",".251","1.35",".299","7.83","3.38","0.91","2.31","70.7%","","","","","","","19.1"
"2001","SFG","1463.1","748","682","4.19","4.12",".253","1.38",".290","6.64","3.56","0.89","1.87","70.5%","","","","","","","16.6"
"2001","ANA","1437.2","730","671","4.20","4.48",".259","1.38",".286","5.93","3.29","1.05","1.80","72.6%","","","","","","","14.0"
"2001","LAD","1450.2","744","685","4.25","4.26",".247","1.32",".286","7.52","3.25","1.14","2.31","71.8%","","","","","","","16.4"
"2001","TOR","1462.2","753","696","4.28","4.25",".271","1.40",".306","6.41","3.02","1.02","2.12","72.4%","","","","","","","18.0"
"2001","FLA","1438.0","744","691","4.32","4.29",".252","1.40",".292","7.00","3.86","0.95","1.81","71.6%","","","","","","","13.2"
"2001","HOU","1454.2","769","709","4.39","4.48",".256","1.33",".291","7.60","3.01","1.37","2.53","73.0%","","","","","","","14.4"
"2001","MIN","1441.1","766","723","4.51","4.48",".263","1.35",".287","6.03","2.78","1.20","2.17","71.2%","","","","","","","11.7"
"2001","SDP","1440.2","812","724","4.52","4.62",".264","1.38",".293","6.80","2.97","1.37","2.29","71.0%","","","","","","","8.1"
"2001","CHW","1433.1","795","725","4.55","4.64",".261","1.37",".285","5.78","3.14","1.14","1.84","69.9%","","","","","","","13.4"
"2001","CLE","1446.2","821","747","4.65","3.99",".266","1.44",".315","7.58","3.56","0.92","2.13","68.1%","","","","","","","21.1"
"2001","MIL","1436.1","806","742","4.65","4.90",".259","1.48",".289","6.62","4.18","1.23","1.58","72.3%","","","","","","","6.7"
"2001","MON","1431.1","812","746","4.69","4.46",".266","1.42",".302","6.94","3.30","1.19","2.10","70.1%","","","","","","","14.0"
"2001","BAL","1432.1","829","748","4.70","4.76",".265","1.42",".289","5.89","3.32","1.22","1.78","69.6%","","","","","","","9.9"
"2001","CIN","1442.2","850","766","4.78","4.70",".273","1.45",".297","5.88","3.21","1.24","1.83","69.2%","","","","","","","10.1"
"2001","KCR","1440.0","858","779","4.87","5.00",".272","1.47",".293","5.69","3.60","1.31","1.58","69.9%","","","","","","","7.6"
"2001","TBD","1423.2","887","784","4.96","4.85",".268","1.46",".296","6.51","3.60","1.31","1.81","68.0%","","","","","","","6.5"
"2001","DET","1429.1","876","795","5.01","4.80",".283","1.52",".307","5.41","3.48","1.13","1.55","68.8%","","","","","","","6.7"
"2001","PIT","1416.1","858","794","5.05","4.63",".267","1.44",".293","5.77","3.49","1.06","1.65","66.9%","","","","","","","9.0"
"2001","COL","1430.0","906","841","5.29","5.13",".270","1.48",".295","6.66","3.76","1.50","1.77","69.1%","","","","","","","10.4"
"2001","TEX","1438.1","968","913","5.71","5.11",".287","1.58",".312","5.95","3.73","1.39","1.60","67.4%","","","","","","","5.8"
