"Season","Team","IP","R","ER","ERA","FIP","AVG","WHIP","BABIP","K/9","BB/9","HR/9","K/BB","LOB%","GB%","GB/FB","HR/FB","Swing%","Barrel%","vFA (pi)","WAR"
"2014","WSN","1470.2","555","495","3.03","3.18",".241","1.16",".294","7.88","2.15","0.67","3.66","74.9%","44.8%","1.29","7.5%","48.2%","","93.7","24.3"
"2014","SEA","1452.0","554","512","3.17","3.61",".227","1.17",".275","8.16","2.87","0.85","2.84","76.8%","45.4%","1.33","9.9%","46.0%","","92.1","13.6"
"2014","OAK","1463.1","572","524","3.22","3.67",".230","1.14",".272","7.65","2.50","0.90","3.06","75.9%","45.6%","1.31","10.0%","46.3%","","93.0","17.4"
"2014","SDP","1438.2","577","523","3.27","3.46",".236","1.22",".289","8.03","2.89","0.73","2.78","74.9%","45.2%","1.37","8.6%","46.3%","","92.2","12.2"
"2014","ATL","1455.0","597","547","3.38","3.47",".245","1.27",".300","8.05","2.92","0.75","2.76","75.0%","42.7%","1.21","8.3%","47.4%","","93.6","18.6"
"2014","LAD","1464.2","617","554","3.40","3.48",".239","1.21",".292","8.44","2.64","0.87","3.20","74.0%","47.8%","1.50","10.8%","46.3%","","92.8","19.5"
"2014","BAL","1461.1","593","558","3.44","3.96",".241","1.24",".280","7.23","2.91","0.93","2.49","77.0%","43.8%","1.23","9.8%","46.1%","","92.9","12.9"
"2014","PIT","1456.1","631","565","3.49","3.80",".242","1.26",".290","7.59","3.08","0.79","2.46","74.2%","50.5%","1.70","10.3%","45.8%","","94.4","8.2"
"2014","NYM","1463.2","618","568","3.49","3.75",".244","1.28",".295","8.01","3.13","0.87","2.56","75.7%","45.8%","1.35","9.9%","45.5%","","93.4","12.7"
"2014","SFG","1449.0","614","564","3.50","3.58",".237","1.17",".282","7.52","2.42","0.83","3.11","72.7%","45.9%","1.37","9.4%","46.9%","","91.7","9.4"
"2014","STL","1448.2","603","564","3.50","3.65",".239","1.24",".286","7.59","2.92","0.76","2.60","74.4%","45.4%","1.33","8.6%","46.8%","","94.1","15.9"
"2014","KCR","1450.2","624","565","3.51","3.69",".247","1.26",".292","7.25","2.73","0.79","2.65","73.9%","43.1%","1.20","8.2%","46.3%","","94.0","17.2"
"2014","TBR","1463.2","625","579","3.56","3.56",".231","1.21",".286","8.84","2.96","0.89","2.98","74.1%","40.8%","1.05","9.1%","45.6%","","93.1","14.1"
"2014","CLE","1468.1","653","583","3.57","3.42",".247","1.27",".309","8.89","2.84","0.83","3.13","73.2%","46.7%","1.43","10.0%","46.8%","","94.1","20.3"
"2014","LAA","1482.2","630","590","3.58","3.57",".233","1.22",".285","8.15","3.06","0.76","2.66","73.3%","41.7%","1.11","8.0%","44.1%","","92.7","14.5"
"2014","CIN","1446.0","612","576","3.59","4.01",".233","1.24",".277","8.03","3.16","1.01","2.54","76.5%","45.1%","1.31","11.6%","46.1%","","94.0","12.8"
"2014","MIL","1457.2","657","594","3.67","3.89",".246","1.25",".289","7.69","2.66","1.03","2.89","74.0%","45.6%","1.32","11.3%","45.3%","","92.6","10.9"
"2014","NYY","1453.0","664","605","3.75","3.67",".246","1.23",".298","8.49","2.47","1.02","3.44","73.3%","43.7%","1.27","11.3%","46.2%","","93.4","17.5"
"2014","MIA","1457.2","674","614","3.79","3.56",".259","1.33",".310","7.35","2.83","0.70","2.60","71.9%","46.9%","1.45","8.0%","46.8%","","94.7","16.7"
"2014","PHI","1468.1","687","621","3.81","3.81",".246","1.31",".295","7.69","3.19","0.82","2.41","72.2%","46.4%","1.40","9.4%","46.0%","","93.8","16.6"
"2014","CHC","1463.1","707","638","3.92","3.51",".247","1.30",".304","8.06","3.10","0.71","2.60","69.6%","44.0%","1.30","8.0%","46.1%","","93.0","20.5"
"2014","TOR","1443.0","686","642","4.00","3.97",".250","1.31",".294","7.48","3.06","0.94","2.45","72.7%","42.9%","1.15","9.4%","46.2%","","92.4","14.2"
"2014","BOS","1465.2","715","653","4.01","3.93",".256","1.32",".301","7.45","2.96","0.95","2.52","71.8%","43.6%","1.24","9.9%","46.0%","","92.6","10.6"
"2014","DET","1454.0","705","648","4.01","3.60",".259","1.33",".312","7.70","2.86","0.79","2.69","70.7%","44.2%","1.27","8.3%","46.5%","","92.9","19.7"
"2014","HOU","1438.2","723","662","4.14","3.93",".256","1.34",".299","7.11","3.03","0.87","2.35","70.3%","46.4%","1.41","9.6%","44.9%","","92.6","9.9"
"2014","ARI","1444.1","742","683","4.26","3.83",".260","1.34",".312","7.96","2.92","0.96","2.72","70.3%","46.1%","1.41","11.1%","46.6%","","92.6","8.2"
"2014","CHW","1441.0","758","688","4.30","4.10",".261","1.41",".306","7.20","3.48","0.87","2.07","70.4%","46.1%","1.37","9.4%","44.8%","","93.0","10.7"
"2014","TEX","1426.1","773","712","4.49","4.22",".268","1.41",".310","7.00","3.19","1.01","2.20","70.4%","39.5%","1.02","9.3%","45.6%","","92.2","9.3"
"2014","MIN","1435.0","777","730","4.58","3.97",".276","1.39",".315","6.47","2.56","0.92","2.53","68.9%","41.8%","1.14","8.6%","48.3%","","92.1","14.3"
"2014","COL","1431.0","818","772","4.86","4.43",".270","1.44",".307","6.75","3.34","1.09","2.02","69.2%","47.7%","1.56","12.7%","46.0%","","92.9","7.2"
