"Season","Team","IP","R","ER","ERA","FIP","AVG","WHIP","BABIP","K/9","BB/9","HR/9","K/BB","LOB%","GB%","GB/FB","HR/FB","Swing%","Barrel%","vFA (pi)","WAR"
"2013","ATL","1450.1","548","512","3.18","3.44",".240","1.20",".288","7.65","2.54","0.79","3.01","77.0%","45.8%","1.42","9.4%","47.0%","","93.1","17.9"
"2013","LAD","1450.1","582","524","3.25","3.45",".239","1.23",".291","8.02","2.85","0.79","2.81","75.4%","47.1%","1.51","9.9%","46.0%","","92.4","20.6"
"2013","PIT","1470.2","577","535","3.27","3.42",".234","1.23",".285","7.72","3.15","0.62","2.45","75.0%","52.5%","1.95","8.9%","45.7%","","93.6","16.8"
"2013","CIN","1473.2","589","554","3.38","3.81",".232","1.17",".273","7.91","2.66","1.04","2.98","77.5%","44.1%","1.25","11.5%","46.3%","","94.4","18.0"
"2013","STL","1459.2","596","556","3.43","3.39",".244","1.24",".297","7.73","2.78","0.69","2.78","74.5%","48.5%","1.54","8.5%","47.1%","","94.1","17.3"
"2013","KCR","1448.1","601","555","3.45","3.83",".247","1.27",".290","7.51","2.91","0.96","2.58","76.9%","41.8%","1.15","10.0%","45.8%","","94.0","17.5"
"2013","OAK","1452.0","625","574","3.56","3.83",".239","1.22",".276","7.33","2.65","1.01","2.76","74.8%","39.5%","0.97","9.2%","46.1%","","91.7","16.6"
"2013","WSN","1445.2","626","576","3.59","3.55",".245","1.23",".291","7.69","2.52","0.88","3.05","73.6%","45.0%","1.32","9.8%","47.4%","","94.0","17.3"
"2013","DET","1462.2","624","587","3.61","3.27",".244","1.25",".306","8.79","2.84","0.79","3.09","73.7%","45.4%","1.34","9.2%","45.9%","","93.9","26.3"
"2013","TEX","1463.1","636","590","3.63","3.77",".245","1.28",".293","8.05","3.06","0.97","2.63","75.5%","42.8%","1.23","10.7%","46.6%","","93.5","21.2"
"2013","MIA","1460.0","646","602","3.71","3.69",".246","1.30",".292","7.26","3.24","0.75","2.24","73.2%","45.3%","1.35","8.4%","46.1%","","93.9","14.6"
"2013","TBR","1464.0","646","608","3.74","3.71",".237","1.23",".284","8.05","2.96","0.94","2.72","73.6%","44.6%","1.29","10.6%","45.6%","","93.7","14.5"
"2013","NYM","1476.2","684","621","3.78","3.79",".251","1.29",".295","7.37","2.79","0.93","2.64","72.9%","44.5%","1.29","10.0%","47.4%","","93.2","18.1"
"2013","BOS","1454.0","656","613","3.79","3.84",".245","1.30",".294","8.01","3.24","0.97","2.47","74.5%","42.9%","1.18","10.2%","46.0%","","92.5","15.8"
"2013","CLE","1441.1","662","611","3.82","3.73",".245","1.33",".302","8.61","3.46","0.92","2.49","74.2%","44.5%","1.32","10.7%","44.7%","","93.4","16.8"
"2013","MIL","1442.2","687","615","3.84","4.12",".251","1.29",".286","7.02","2.91","1.09","2.41","73.5%","44.4%","1.32","11.9%","44.6%","","93.2","5.3"
"2013","ARI","1495.0","695","651","3.92","4.04",".252","1.30",".292","7.33","2.92","1.06","2.51","74.5%","46.0%","1.42","12.2%","46.4%","","92.3","8.5"
"2013","NYY","1447.1","671","634","3.94","3.89",".257","1.31",".302","7.67","2.72","1.06","2.82","74.6%","44.0%","1.29","11.5%","45.3%","","92.7","14.8"
"2013","SDP","1455.0","700","643","3.98","4.00",".251","1.33",".292","7.24","3.25","0.96","2.23","72.5%","45.8%","1.37","10.8%","45.2%","","92.3","8.4"
"2013","CHW","1455.0","723","646","4.00","4.13",".252","1.33",".295","7.73","3.15","1.13","2.45","73.1%","43.3%","1.19","11.5%","45.0%","","92.4","15.3"
"2013","CHC","1448.0","689","643","4.00","4.10",".240","1.29",".279","7.36","3.36","0.99","2.19","72.8%","42.4%","1.16","10.3%","45.8%","","92.7","11.3"
"2013","SFG","1447.1","691","643","4.00","3.80",".247","1.31",".295","7.81","3.24","0.90","2.41","72.1%","42.1%","1.21","9.9%","45.7%","","91.3","7.1"
"2013","BAL","1453.0","709","678","4.20","4.33",".256","1.32",".291","7.24","2.93","1.25","2.47","74.6%","42.2%","1.18","12.9%","46.4%","","92.7","11.1"
"2013","LAA","1457.2","737","687","4.24","4.08",".258","1.38",".300","7.41","3.29","1.03","2.25","72.3%","42.1%","1.16","10.4%","45.3%","","92.4","10.1"
"2013","TOR","1452.0","756","688","4.26","4.30",".255","1.34",".293","7.49","3.10","1.21","2.42","72.3%","44.0%","1.22","12.3%","44.8%","","92.0","9.5"
"2013","SEA","1465.0","754","703","4.32","3.89",".256","1.33",".303","7.97","2.94","1.07","2.71","70.7%","45.3%","1.34","11.8%","45.6%","","93.1","15.7"
"2013","PHI","1436.1","749","692","4.34","3.94",".260","1.37",".306","7.51","3.17","0.95","2.37","70.5%","44.5%","1.27","10.1%","46.8%","","92.2","13.7"
"2013","COL","1436.0","760","708","4.44","3.96",".271","1.44",".314","6.67","3.24","0.85","2.06","70.2%","47.4%","1.58","10.0%","46.3%","","92.9","16.4"
"2013","MIN","1450.1","788","734","4.55","4.23",".276","1.41",".309","6.11","2.84","1.04","2.15","70.2%","43.7%","1.24","10.2%","45.9%","","91.2","11.5"
"2013","HOU","1440.0","848","767","4.79","4.67",".269","1.49",".303","6.78","3.85","1.19","1.76","70.0%","43.9%","1.23","11.8%","43.8%","","93.0","2.2"
