"Season","Team","IP","R","ER","ERA","FIP","AVG","WHIP","BABIP","K/9","BB/9","HR/9","K/BB","LOB%","GB%","GB/FB","HR/FB","Swing%","Barrel%","vFA (pi)","WAR"
"2020","LAD","538.2","213","181","3.02","3.79",".211","1.06",".252","8.64","2.42","1.10","3.57","75.8%","46.3%","1.36","13.2%","49.0%","5.4%","94.4","8.9"
"2020","CLE","536.0","209","196","3.29","3.55",".221","1.11",".285","10.43","2.64","1.14","3.96","78.5%","40.5%","1.09","13.4%","47.0%","8.0%","93.3","11.0"
"2020","TBR","527.2","229","209","3.56","3.94",".236","1.22",".291","9.42","2.87","1.19","3.29","77.2%","45.1%","1.38","14.9%","49.0%","6.8%","94.2","7.0"
"2020","MIN","513.1","215","204","3.58","3.79",".231","1.20",".288","9.38","2.98","1.09","3.15","76.8%","40.8%","1.10","12.1%","47.2%","7.4%","92.0","9.8"
"2020","OAK","515.1","232","216","3.77","4.02",".237","1.23",".285","8.84","2.88","1.21","3.07","75.6%","41.2%","1.07","12.3%","46.3%","7.3%","93.1","7.7"
"2020","CHW","527.0","246","223","3.81","4.32",".225","1.26",".269","8.93","3.71","1.21","2.41","75.1%","44.2%","1.32","14.5%","45.7%","6.9%","94.5","6.4"
"2020","SDP","520.1","241","224","3.87","3.88",".232","1.20",".290","9.77","2.94","1.21","3.32","74.0%","42.5%","1.18","14.1%","45.7%","7.6%","95.2","8.1"
"2020","CIN","504.0","243","218","3.89","3.92",".213","1.22",".278","10.98","3.80","1.20","2.89","72.8%","43.2%","1.19","14.6%","44.7%","6.8%","94.6","9.9"
"2020","STL","473.0","229","206","3.92","4.58",".214","1.23",".250","8.83","3.88","1.31","2.27","74.0%","44.4%","1.27","15.4%","45.2%","6.9%","93.3","3.6"
"2020","CHC","518.1","240","230","3.99","4.18",".231","1.22",".278","9.08","3.16","1.28","2.87","75.0%","45.0%","1.39","16.0%","45.3%","8.0%","92.8","6.9"
"2020","MIL","517.1","264","240","4.18","3.80",".227","1.23",".296","10.68","3.29","1.17","3.25","70.5%","46.6%","1.41","15.2%","45.3%","7.0%","93.3","9.2"
"2020","KCR","517.0","272","247","4.30","4.50",".251","1.38",".303","9.00","3.67","1.32","2.45","73.9%","44.4%","1.29","15.0%","44.5%","7.0%","93.9","4.0"
"2020","HOU","524.0","275","251","4.31","4.33",".237","1.31",".288","9.03","3.73","1.20","2.42","71.5%","44.2%","1.28","14.0%","43.2%","7.5%","92.9","6.3"
"2020","NYY","500.2","270","242","4.35","4.39",".235","1.24",".280","9.49","3.02","1.49","3.14","71.1%","42.9%","1.16","16.0%","48.2%","7.8%","94.4","5.9"
"2020","ATL","524.1","288","260","4.46","4.42",".244","1.36",".294","8.69","3.78","1.18","2.30","70.6%","43.7%","1.25","13.2%","46.0%","7.4%","92.8","4.2"
"2020","BAL","518.2","294","260","4.51","4.60",".242","1.31",".282","8.45","3.33","1.37","2.54","69.7%","42.6%","1.20","14.6%","46.1%","7.0%","92.8","6.5"
"2020","TOR","524.2","312","270","4.63","4.73",".253","1.46",".302","8.90","4.29","1.39","2.08","70.3%","43.1%","1.19","14.9%","45.7%","7.7%","92.9","4.0"
"2020","SFG","517.2","297","267","4.64","4.45",".237","1.32",".281","8.48","3.65","1.20","2.32","67.8%","38.8%","1.01","12.1%","44.8%","7.2%","93.1","3.8"
"2020","PIT","513.0","298","267","4.68","4.80",".232","1.36",".280","9.40","4.37","1.40","2.15","70.2%","43.4%","1.22","16.2%","43.5%","8.3%","93.2","2.7"
"2020","ARI","518.1","295","279","4.84","5.00",".250","1.43",".294","9.10","4.08","1.61","2.23","74.0%","38.4%","0.96","15.7%","44.9%","9.8%","93.3","1.4"
"2020","MIA","504.0","304","272","4.86","5.02",".258","1.45",".297","8.05","4.04","1.46","2.00","70.6%","45.2%","1.30","15.7%","47.3%","8.4%","92.5","2.2"
"2020","NYM","513.1","308","286","5.01","4.46",".254","1.42",".316","10.06","3.84","1.42","2.62","69.9%","41.7%","1.16","15.8%","47.0%","8.3%","94.6","5.0"
"2020","TEX","516.2","312","288","5.02","4.88",".239","1.38",".277","8.52","4.11","1.41","2.07","68.6%","40.6%","1.06","14.0%","44.3%","7.4%","93.2","2.6"
"2020","SEA","516.2","303","289","5.03","4.91",".243","1.38",".281","8.17","4.01","1.38","2.04","69.9%","40.3%","1.04","13.5%","43.6%","6.9%","92.3","3.3"
"2020","LAA","525.1","321","297","5.09","4.49",".242","1.32",".287","8.96","3.41","1.40","2.63","65.5%","39.4%","1.01","14.0%","46.0%","7.8%","92.7","5.2"
"2020","WSN","503.2","301","285","5.09","5.02",".269","1.52",".317","9.08","3.86","1.68","2.35","74.1%","37.9%","0.99","16.3%","47.6%","8.6%","92.8","2.8"
"2020","PHI","497.0","311","287","5.20","4.43",".277","1.48",".343","9.63","3.35","1.45","2.88","69.4%","46.6%","1.56","18.6%","47.5%","7.8%","94.1","6.1"
"2020","BOS","524.0","351","325","5.58","5.19",".279","1.60",".332","9.22","4.33","1.68","2.13","70.8%","42.9%","1.29","18.9%","45.6%","8.7%","94.0","-0.2"
"2020","COL","526.1","353","327","5.59","5.14",".277","1.49",".307","6.72","3.51","1.42","1.92","66.5%","44.5%","1.35","15.0%","46.2%","7.2%","94.3","3.3"
"2020","DET","492.1","318","308","5.63","5.17",".262","1.43",".297","8.12","3.51","1.66","2.31","68.7%","42.2%","1.17","17.1%","46.3%","8.8%","93.4","1.4"
