"Season","Team","IP","R","ER","ERA","FIP","AVG","WHIP","BABIP","K/9","BB/9","HR/9","K/BB","LOB%","GB%","GB/FB","HR/FB","Swing%","Barrel%","vFA (pi)","WAR"
"2000","ATL","1440.1","714","649","4.06","4.19",".253","1.33",".288","6.83","3.02","1.03","2.26","71.9%","","","","","","","22.3"
"2000","LAD","1445.0","729","659","4.10","4.52",".247","1.37",".283","7.19","3.74","1.10","1.92","73.3%","","","","","","","16.5"
"2000","NYM","1450.0","738","671","4.16","4.31",".248","1.36",".286","7.22","3.56","1.02","2.03","71.8%","","","","","","","19.1"
"2000","SFG","1444.1","747","676","4.21","4.38",".259","1.44",".297","6.70","3.88","0.94","1.73","71.9%","","","","","","","16.4"
"2000","BOS","1452.2","745","684","4.24","4.29",".253","1.33",".288","6.95","3.09","1.07","2.25","71.2%","","","","","","","20.5"
"2000","CIN","1456.1","765","700","4.33","4.88",".255","1.45",".282","6.27","4.07","1.17","1.54","73.5%","","","","","","","13.8"
"2000","ARI","1443.2","754","700","4.36","4.28",".257","1.34",".297","7.61","3.12","1.18","2.44","71.6%","","","","","","","22.1"
"2000","STL","1433.2","771","701","4.40","4.77",".254","1.40",".285","6.91","3.80","1.23","1.82","72.4%","","","","","","","15.0"
"2000","SDP","1459.1","815","733","4.52","4.84",".253","1.43",".282","6.61","4.00","1.18","1.65","71.1%","","","","","","","9.5"
"2000","SEA","1441.2","780","726","4.53","4.65",".258","1.44",".288","6.23","3.96","1.04","1.57","70.9%","","","","","","","15.5"
"2000","OAK","1435.1","813","730","4.58","4.61",".270","1.50",".301","6.04","3.86","0.99","1.57","70.1%","","","","","","","17.1"
"2000","FLA","1429.2","797","729","4.59","4.65",".263","1.49",".298","6.62","4.09","1.06","1.62","71.0%","","","","","","","13.1"
"2000","MIL","1466.1","826","755","4.63","4.98",".263","1.52",".291","5.94","4.47","1.07","1.33","71.6%","","","","","","","10.3"
"2000","CHW","1450.1","839","752","4.67","4.83",".266","1.46",".296","6.44","3.81","1.21","1.69","70.3%","","","","","","","16.5"
"2000","DET","1443.1","827","759","4.73","4.50",".275","1.44",".306","6.10","3.09","1.10","1.97","69.2%","","","","","","","17.3"
"2000","NYY","1424.1","814","753","4.76","4.61",".259","1.43",".290","6.57","3.65","1.12","1.80","69.2%","","","","","","","17.5"
"2000","PHI","1438.2","830","766","4.79","4.81",".259","1.46",".292","7.03","4.00","1.26","1.75","70.5%","","","","","","","10.9"
"2000","CLE","1442.1","816","775","4.84","4.48",".266","1.51",".312","7.57","4.16","1.08","1.82","71.0%","","","","","","","20.4"
"2000","TBD","1431.1","842","773","4.86","4.85",".273","1.46",".299","6.00","3.35","1.24","1.79","69.9%","","","","","","","13.6"
"2000","PIT","1449.0","888","796","4.94","4.72",".271","1.56",".308","6.65","4.42","1.01","1.50","68.5%","","","","","","","13.2"
"2000","ANA","1448.0","869","807","5.02","5.46",".269","1.52",".282","5.26","4.11","1.42","1.28","71.3%","","","","","","","4.9"
"2000","MON","1424.2","902","814","5.14","4.71",".276","1.51",".309","6.39","3.66","1.14","1.75","66.9%","","","","","","","13.8"
"2000","MIN","1432.2","880","821","5.16","4.76",".282","1.50",".314","6.55","3.24","1.33","2.02","69.1%","","","","","","","13.3"
"2000","TOR","1437.1","908","826","5.17","4.84",".281","1.51",".310","6.12","3.51","1.22","1.75","67.7%","","","","","","","14.1"
"2000","CHC","1454.2","904","850","5.26","5.11",".263","1.49",".292","7.07","4.07","1.43","1.74","69.5%","","","","","","","8.1"
"2000","COL","1430.0","897","840","5.29","5.13",".276","1.51",".302","6.30","3.70","1.39","1.70","69.4%","","","","","","","16.4"
"2000","BAL","1433.1","913","855","5.37","5.01",".270","1.54",".298","6.39","4.18","1.27","1.53","67.9%","","","","","","","12.0"
"2000","HOU","1437.2","944","865","5.42","5.14",".275","1.53",".303","6.66","3.74","1.46","1.78","68.0%","","","","","","","8.7"
"2000","KCR","1439.1","930","877","5.48","5.54",".278","1.58",".296","5.80","4.33","1.49","1.34","70.0%","","","","","","","6.7"
"2000","TEX","1429.0","974","876","5.52","5.21",".288","1.64",".314","5.78","4.16","1.27","1.39","67.5%","","","","","","","11.0"
