"Season","Team","IP","R","ER","ERA","FIP","AVG","WHIP","BABIP","K/9","BB/9","HR/9","K/BB","LOB%","GB%","GB/FB","HR/FB","Swing%","Barrel%","vFA (pi)","WAR"
"2019","LAD","1445.2","613","545","3.39","3.73",".220","1.10",".271","9.46","2.44","1.15","3.88","74.7%","44.9%","1.32","14.1%","49.0%","5.0%","93.5","25.4"
"2019","HOU","1462.1","640","595","3.66","3.98",".219","1.13",".270","10.28","2.76","1.42","3.73","76.8%","43.6%","1.21","16.7%","47.0%","6.2%","94.6","24.2"
"2019","TBR","1474.1","656","602","3.67","3.65",".229","1.17",".290","9.90","2.77","1.10","3.58","73.7%","44.1%","1.27","13.4%","48.2%","6.0%","94.2","24.5"
"2019","CLE","1437.2","657","606","3.79","4.06",".238","1.22",".291","9.44","2.82","1.30","3.35","76.0%","39.7%","1.03","13.6%","47.6%","7.0%","93.2","21.0"
"2019","STL","1444.0","662","613","3.82","4.27",".235","1.27",".283","8.72","3.40","1.19","2.57","75.8%","44.9%","1.37","14.5%","46.7%","6.0%","93.9","14.9"
"2019","OAK","1465.0","680","646","3.97","4.34",".239","1.24",".278","7.98","2.93","1.23","2.72","75.1%","41.5%","1.11","12.6%","47.2%","6.1%","93.0","18.7"
"2019","CHC","1442.0","717","657","4.10","4.25",".247","1.32",".300","9.01","3.33","1.22","2.70","74.1%","45.9%","1.43","15.0%","45.8%","6.3%","92.4","16.9"
"2019","CIN","1438.0","711","668","4.18","4.23",".232","1.26",".286","9.71","3.35","1.34","2.90","73.7%","44.3%","1.30","16.4%","46.3%","5.8%","94.4","19.8"
"2019","MIN","1463.1","754","680","4.18","4.03",".254","1.30",".309","9.00","2.78","1.22","3.24","71.8%","41.8%","1.19","13.4%","48.5%","6.7%","93.0","23.6"
"2019","ATL","1450.2","743","677","4.20","4.39",".253","1.36",".302","8.64","3.40","1.26","2.54","73.8%","45.2%","1.39","15.0%","46.8%","6.2%","93.2","12.4"
"2019","ARI","1465.0","743","691","4.25","4.40",".248","1.31",".295","8.77","3.17","1.35","2.77","74.0%","43.1%","1.23","15.2%","46.8%","7.5%","92.5","13.4"
"2019","NYM","1461.0","737","690","4.25","4.10",".248","1.30",".304","9.36","3.08","1.26","3.04","73.1%","43.4%","1.20","13.9%","47.9%","6.0%","95.3","19.8"
"2019","WSN","1439.1","724","684","4.28","4.14",".241","1.29",".296","9.45","3.23","1.26","2.92","73.0%","42.6%","1.17","13.9%","48.0%","7.0%","93.8","21.7"
"2019","NYY","1443.0","739","691","4.31","4.47",".246","1.30",".296","9.57","3.16","1.55","3.03","75.2%","42.4%","1.15","16.8%","47.4%","6.6%","93.9","17.9"
"2019","SFG","1469.0","773","715","4.38","4.55",".246","1.30",".286","8.38","3.18","1.39","2.64","72.6%","42.2%","1.18","15.1%","47.0%","7.1%","92.9","8.3"
"2019","MIL","1459.1","766","714","4.40","4.46",".243","1.33",".292","9.23","3.52","1.39","2.63","73.1%","42.2%","1.18","15.6%","46.9%","6.2%","93.9","12.5"
"2019","PHI","1453.2","794","732","4.53","4.88",".257","1.37",".298","8.62","3.38","1.60","2.55","74.7%","43.1%","1.25","17.9%","46.4%","7.2%","93.0","8.5"
"2019","SDP","1432.0","789","737","4.63","4.22",".248","1.30",".299","9.27","2.91","1.35","3.19","70.0%","43.0%","1.21","14.8%","47.5%","6.1%","93.4","15.2"
"2019","BOS","1471.0","828","768","4.70","4.28",".249","1.38",".312","9.99","3.70","1.32","2.70","70.8%","42.6%","1.16","14.4%","46.0%","6.9%","93.6","16.5"
"2019","MIA","1444.1","808","760","4.74","4.89",".242","1.35",".281","8.59","3.83","1.47","2.24","72.1%","38.3%","0.95","14.2%","48.1%","7.3%","93.5","5.8"
"2019","TOR","1440.1","828","767","4.79","4.82",".257","1.43",".300","8.32","3.77","1.42","2.21","71.8%","43.1%","1.20","14.9%","46.0%","7.2%","93.2","9.0"
"2019","CHW","1412.2","832","770","4.91","4.89",".260","1.43",".302","8.36","3.71","1.52","2.25","71.3%","43.2%","1.20","15.9%","47.3%","7.0%","94.4","13.2"
"2019","SEA","1439.1","893","799","5.00","5.00",".260","1.38",".291","7.75","3.16","1.63","2.45","68.4%","43.4%","1.21","16.4%","46.4%","7.2%","92.1","5.4"
"2019","TEX","1438.0","878","813","5.09","4.84",".266","1.46",".312","8.63","3.65","1.51","2.37","70.5%","41.8%","1.15","15.4%","46.1%","7.4%","93.7","14.2"
"2019","LAA","1442.2","868","820","5.12","5.04",".252","1.38",".290","8.76","3.59","1.67","2.44","70.9%","40.4%","1.08","17.0%","45.6%","6.8%","93.3","7.5"
"2019","PIT","1440.0","911","830","5.19","4.78",".264","1.45",".315","9.02","3.65","1.51","2.47","68.9%","42.2%","1.16","15.7%","47.5%","6.7%","93.7","8.6"
"2019","KCR","1425.0","869","824","5.20","4.90",".270","1.48",".311","7.77","3.68","1.40","2.11","70.2%","43.9%","1.28","14.7%","46.1%","7.3%","93.2","7.8"
"2019","DET","1433.0","915","837","5.26","4.84",".271","1.46",".317","8.59","3.37","1.57","2.55","68.8%","42.7%","1.17","15.9%","46.9%","8.3%","92.7","10.3"
"2019","COL","1448.2","958","898","5.58","5.23",".273","1.49",".308","7.85","3.66","1.68","2.15","68.5%","46.1%","1.44","19.0%","46.9%","7.1%","94.1","6.0"
"2019","BAL","1443.0","981","909","5.67","5.56",".268","1.46",".295","7.78","3.50","1.90","2.22","68.5%","40.5%","1.03","17.4%","46.7%","8.1%","92.4","6.9"
