"Season","Team","IP","R","ER","ERA","FIP","AVG","WHIP","BABIP","K/9","BB/9","HR/9","K/BB","LOB%","GB%","GB/FB","HR/FB","Swing%","Barrel%","vFA (pi)","WAR"
"2010","SFG","1461.0","583","546","3.36","3.74",".231","1.27",".282","8.20","3.56","0.83","2.30","77.0%","42.0%","1.03","8.0%","44.9%","","92.3","18.4"
"2010","SDP","1456.1","581","551","3.41","3.66",".237","1.25",".286","8.00","3.20","0.86","2.50","76.7%","46.0%","1.27","9.3%","44.7%","","91.7","16.3"
"2010","ATL","1439.1","629","571","3.57","3.65",".241","1.27",".290","7.76","3.16","0.79","2.46","73.4%","49.9%","1.53","9.3%","45.0%","","93.0","15.6"
"2010","STL","1453.2","641","577","3.57","3.85",".252","1.30",".292","6.77","2.95","0.82","2.29","74.0%","49.5%","1.51","9.2%","44.2%","","92.1","11.4"
"2010","OAK","1431.2","626","570","3.58","4.13",".241","1.28",".274","6.73","3.22","0.96","2.09","75.1%","46.1%","1.26","9.7%","44.0%","","91.6","13.7"
"2010","PHI","1456.1","640","596","3.68","3.93",".249","1.25",".289","7.31","2.57","1.04","2.84","75.3%","46.5%","1.27","10.6%","45.7%","","91.9","16.6"
"2010","NYM","1453.0","652","602","3.73","4.00",".255","1.36",".296","6.85","3.38","0.84","2.03","74.9%","44.8%","1.23","8.4%","45.6%","","91.2","14.1"
"2010","TBR","1453.2","649","611","3.78","4.09",".241","1.26",".278","7.36","2.96","1.08","2.49","75.2%","41.3%","1.01","9.9%","46.7%","","93.6","16.3"
"2010","TEX","1455.1","687","636","3.93","4.17",".242","1.31",".280","7.30","3.41","1.00","2.14","73.6%","41.5%","1.03","9.3%","44.1%","","92.9","19.3"
"2010","SEA","1438.0","698","631","3.95","4.17",".250","1.29",".279","6.09","2.83","0.98","2.15","71.4%","43.4%","1.12","9.0%","46.0%","","91.3","15.7"
"2010","MIN","1452.2","671","638","3.95","3.91",".263","1.29",".299","6.49","2.37","0.96","2.74","73.4%","44.7%","1.21","9.2%","47.1%","","92.1","17.3"
"2010","LAD","1441.2","692","643","4.01","3.76",".239","1.29",".287","7.95","3.36","0.84","2.36","70.9%","44.6%","1.19","8.6%","45.6%","","92.2","16.8"
"2010","CIN","1453.0","685","649","4.02","4.12",".250","1.33",".288","7.00","3.25","0.98","2.16","73.6%","42.9%","1.12","9.4%","45.1%","","92.4","12.8"
"2010","LAA","1449.1","702","651","4.04","4.11",".252","1.37",".292","7.02","3.51","0.92","2.00","72.9%","42.6%","1.09","8.5%","43.6%","","92.6","13.5"
"2010","NYY","1442.1","693","650","4.06","4.34",".245","1.31",".281","7.20","3.37","1.12","2.14","74.0%","43.9%","1.13","10.7%","44.8%","","93.2","16.4"
"2010","HOU","1439.1","729","654","4.09","3.89",".257","1.39",".305","7.57","3.43","0.88","2.21","71.0%","44.3%","1.20","8.8%","45.1%","","92.2","15.5"
"2010","FLA","1438.1","717","654","4.09","3.92",".255","1.38",".301","7.31","3.44","0.84","2.13","71.3%","43.6%","1.14","8.1%","45.0%","","92.7","16.1"
"2010","CHW","1446.1","704","658","4.09","3.80",".260","1.36",".305","7.15","3.05","0.85","2.34","71.5%","44.9%","1.22","8.4%","46.1%","","92.8","24.0"
"2010","WSN","1435.0","742","659","4.13","4.12",".260","1.38",".297","6.70","3.21","0.95","2.09","70.8%","44.5%","1.23","9.4%","44.2%","","91.1","10.4"
"2010","COL","1442.0","717","663","4.14","3.83",".253","1.34",".302","7.70","3.28","0.87","2.35","70.8%","46.5%","1.35","9.6%","45.4%","","92.8","21.6"
"2010","BOS","1456.2","744","678","4.19","4.08",".249","1.36",".292","7.46","3.58","0.94","2.08","70.8%","43.6%","1.13","9.0%","45.5%","","92.4","15.7"
"2010","TOR","1440.2","728","677","4.23","4.04",".253","1.35",".297","7.40","3.37","0.94","2.20","71.2%","45.7%","1.25","9.5%","44.5%","","91.8","15.3"
"2010","CHC","1436.2","767","677","4.24","4.11",".250","1.40",".298","7.94","3.79","0.96","2.10","70.4%","43.3%","1.14","9.5%","44.7%","","91.6","13.8"
"2010","DET","1444.1","743","688","4.29","4.14",".258","1.37",".296","6.58","3.35","0.88","1.97","70.6%","43.8%","1.14","8.3%","44.9%","","94.1","18.0"
"2010","CLE","1433.0","752","684","4.30","4.40",".264","1.43",".297","6.07","3.59","0.92","1.69","71.4%","47.9%","1.38","9.3%","44.3%","","92.2","9.7"
"2010","MIL","1439.0","804","734","4.59","4.21",".261","1.44",".308","7.87","3.64","1.08","2.16","70.0%","41.8%","1.08","10.3%","43.5%","","91.1","7.4"
"2010","BAL","1436.1","785","733","4.59","4.57",".265","1.41",".294","6.31","3.26","1.17","1.94","71.3%","42.1%","1.05","10.2%","44.7%","","92.2","9.8"
"2010","ARI","1432.0","836","765","4.81","4.76",".266","1.43",".296","6.72","3.44","1.32","1.95","70.1%","41.8%","1.07","12.0%","45.0%","","91.5","2.7"
"2010","KCR","1436.2","845","794","4.97","4.48",".271","1.46",".304","6.48","3.45","1.10","1.88","68.6%","42.5%","1.09","9.8%","44.8%","","92.3","9.3"
"2010","PIT","1411.2","866","785","5.00","4.45",".275","1.49",".311","6.54","3.43","1.06","1.91","67.4%","44.0%","1.20","10.0%","45.1%","","92.5","6.4"
